省份/直辖市,城市名称,城市类型,,,,,,,,,,
安徽省,合肥市,地级及以上城市,,,,,,,,,,
安徽省,芜湖市,地级及以上城市,,,,,,,,,,
安徽省,蚌埠市,地级及以上城市,,,,,,,,,,
安徽省,淮南市,地级及以上城市,,,,,,,,,,
安徽省,马鞍山市,地级及以上城市,,,,,,,,,,
安徽省,淮北市,地级及以上城市,,,,,,,,,,
安徽省,铜陵市,地级及以上城市,,,,,,,,,,
安徽省,安庆市,地级及以上城市,,,,,,,,,,
安徽省,黄山市,地级及以上城市,,,,,,,,,,
安徽省,滁州市,地级及以上城市,,,,,,,,,,
安徽省,阜阳市,地级及以上城市,,,,,,,,,,
安徽省,宿州市,地级及以上城市,,,,,,,,,,
安徽省,巢湖市,县级市,,,,,,,,,,
安徽省,六安市,地级及以上城市,,,,,,,,,,
安徽省,亳州市,地级及以上城市,,,,,,,,,,
安徽省,宣城市,地级及以上城市,,,,,,,,,,
安徽省,池州市,地级及以上城市,,,,,,,,,,
安徽省,桐城市,县级市,,,,,,,,,,
安徽省,天长市,县级市,,,,,,,,,,
安徽省,明光市,县级市,,,,,,,,,,
安徽省,无为市,县级市,,,,,,,,,,
安徽省,界首市,县级市,,,,,,,,,,
安徽省,广德市,县级市,,,,,,,,,,
安徽省,宁国市,县级市,,,,,,,,,,
安徽省,潜山市,县级市,,,,,,,,,,
北京市,北京市,地级及以上城市,,,,,,,,,,
福建省,福州市,地级及以上城市,,,,,,,,,,
福建省,厦门市,地级及以上城市,,,,,,,,,,
福建省,莆田市,地级及以上城市,,,,,,,,,,
福建省,三明市,地级及以上城市,,,,,,,,,,
福建省,泉州市,地级及以上城市,,,,,,,,,,
福建省,漳州市,地级及以上城市,,,,,,,,,,
福建省,南平市,地级及以上城市,,,,,,,,,,
福建省,龙岩市,地级及以上城市,,,,,,,,,,
福建省,福清市,县级市,,,,,,,,,,
福建省,永安市,县级市,,,,,,,,,,
福建省,石狮市,县级市,,,,,,,,,,
福建省,晋江市,县级市,,,,,,,,,,
福建省,南安市,县级市,,,,,,,,,,
福建省,邵武市,县级市,,,,,,,,,,
福建省,武夷山市,县级市,,,,,,,,,,
福建省,建瓯市,县级市,,,,,,,,,,
福建省,漳平市,县级市,,,,,,,,,,
福建省,宁德市,地级及以上城市,,,,,,,,,,
福建省,福安市,县级市,,,,,,,,,,
福建省,福鼎市,县级市,,,,,,,,,,
甘肃省,兰州市,地级及以上城市,,,,,,,,,,
甘肃省,嘉峪关市,地级及以上城市,,,,,,,,,,
甘肃省,金昌市,地级及以上城市,,,,,,,,,,
甘肃省,白银市,地级及以上城市,,,,,,,,,,
甘肃省,天水市,地级及以上城市,,,,,,,,,,
甘肃省,定西市,地级及以上城市,,,,,,,,,,
甘肃省,庆阳市,地级及以上城市,,,,,,,,,,
甘肃省,陇南市,地级及以上城市,,,,,,,,,,
甘肃省,临夏回族自治州,地级及以上城市,,,,,,,,,,
甘肃省,甘南藏族自治州,地级及以上城市,,,,,,,,,,
甘肃省,玉门市,县级市,,,,,,,,,,
甘肃省,酒泉市,地级及以上城市,,,,,,,,,,
甘肃省,敦煌市,县级市,,,,,,,,,,
甘肃省,张掖市,地级及以上城市,,,,,,,,,,
甘肃省,武威市,地级及以上城市,,,,,,,,,,
甘肃省,平凉市,地级及以上城市,,,,,,,,,,
甘肃省,华亭市,县级市,,,,,,,,,,
甘肃省,临夏市,县级市,,,,,,,,,,
甘肃省,合作市,县级市,,,,,,,,,,
广东省,广州市,地级及以上城市,,,,,,,,,,
广东省,韶关市,地级及以上城市,,,,,,,,,,
广东省,深圳市,地级及以上城市,,,,,,,,,,
广东省,珠海市,地级及以上城市,,,,,,,,,,
广东省,汕头市,地级及以上城市,,,,,,,,,,
广东省,佛山市,地级及以上城市,,,,,,,,,,
广东省,江门市,地级及以上城市,,,,,,,,,,
广东省,湛江市,地级及以上城市,,,,,,,,,,
广东省,茂名市,地级及以上城市,,,,,,,,,,
广东省,肇庆市,地级及以上城市,,,,,,,,,,
广东省,惠州市,地级及以上城市,,,,,,,,,,
广东省,梅州市,地级及以上城市,,,,,,,,,,
广东省,汕尾市,地级及以上城市,,,,,,,,,,
广东省,河源市,地级及以上城市,,,,,,,,,,
广东省,阳江市,地级及以上城市,,,,,,,,,,
广东省,清远市,地级及以上城市,,,,,,,,,,
广东省,东莞市,地级及以上城市,,,,,,,,,,
广东省,中山市,地级及以上城市,,,,,,,,,,
广东省,潮州市,地级及以上城市,,,,,,,,,,
广东省,揭阳市,地级及以上城市,,,,,,,,,,
广东省,云浮市,地级及以上城市,,,,,,,,,,
广东省,乐昌市,县级市,,,,,,,,,,
广东省,南雄市,县级市,,,,,,,,,,
广东省,台山市,县级市,,,,,,,,,,
广东省,开平市,县级市,,,,,,,,,,
广东省,鹤山市,县级市,,,,,,,,,,
广东省,恩平市,县级市,,,,,,,,,,
广东省,廉江市,县级市,,,,,,,,,,
广东省,雷州市,县级市,,,,,,,,,,
广东省,吴川市,县级市,,,,,,,,,,
广东省,高州市,县级市,,,,,,,,,,
广东省,化州市,县级市,,,,,,,,,,
广东省,信宜市,县级市,,,,,,,,,,
广东省,四会市,县级市,,,,,,,,,,
广东省,兴宁市,县级市,,,,,,,,,,
广东省,陆丰市,县级市,,,,,,,,,,
广东省,阳春市,县级市,,,,,,,,,,
广东省,英德市,县级市,,,,,,,,,,
广东省,连州市,县级市,,,,,,,,,,
广东省,普宁市,县级市,,,,,,,,,,
广东省,罗定市,县级市,,,,,,,,,,
广西,南宁市,地级及以上城市,,,,,,,,,,
广西,柳州市,地级及以上城市,,,,,,,,,,
广西,桂林市,地级及以上城市,,,,,,,,,,
广西,梧州市,地级及以上城市,,,,,,,,,,
广西,北海市,地级及以上城市,,,,,,,,,,
广西,防城港市,地级及以上城市,,,,,,,,,,
广西,钦州市,地级及以上城市,,,,,,,,,,
广西,贵港市,地级及以上城市,,,,,,,,,,
广西,玉林市,地级及以上城市,,,,,,,,,,
广西,来宾市,地级及以上城市,,,,,,,,,,
广西,崇左市,地级及以上城市,,,,,,,,,,
